Entry Name,Associated Text,Word Count,Associated Image ,Associated Image Caption Line 1,"Associated Image Caption Line 2 (""Photo Credit:"")",Associated Audio,Associated Audio Credit Line 1,"Associated Audio Credit Line 2 (""Written By:"")","Associated Audio Credit Line 3 (""Performed By:"")",Note
Jimmy Lamberth,"Born in 1926 in Jonesboro, Jimmy Lamberth began his musical career at eight years old. By age 15 he formed a band called The Rhythm Kings. He was primarily a jazz musician, but he played with rockabilly saxophonist Ace Cannon as well. Lamberth also released a few rockabilly songs of his own, including Latch On To Your Baby in 1957 and Rockin' and Reelin' in 1959. He founded Reka Records in Jonesboro, which issued records by fellow rockabillies Kenny Owens and Sonny Deckelman.",83,,"Jimmy Lamberth, date unknown",Source unknown,Rockin' and Reelin' by Jimmy Lamberth,"Rockin' and Reelin', Reka Records, 1959",Jimmy Lamberth,Jimmy Lamberth,"Swingy R&Bish Rockabilly, https://www.youtube.com/watch?v=d8aNKiJhaVg,  1959 Rockabilly"
Johnny Cash,"John R. “Johnny” Cash was born in Kingsland, Arkansas, but raised in Dyess, where he grew up picking cotton. He grew up listening to gospel music and he was playing and writing his own music by the age of 12. In 1955, he auditioned for Sam Phillips of Sun Records and released his first songs, Hey Porter and Cry! Cry! Cry! Many of his early releases bear characteristics of rockabilly, including Folsom Prison Blues, Rockabilly Blues, Get Rhythm, and Rock and Roll Ruby. In 1958, Cash left Sun Records and signed a new contract with Columbia Records, where he released a gospel record. He went on to experience success and acclaim for several decades, and was inducted into the Country Music, Rock and Roll, and Gospel Music Halls of Fame.",130,,"Johnny Cash, 1957",Michael Ochs Archives/Getty Images,Folsom Prison Blues by Johnny Cash,"Folsom Prison Blues, Sun Records, 1955",Johnny Cash,Johnny Cash,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=429475&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True
Johnny Moore,"Johnny Moore was born in the Blythville area in 1929, but little else is known about his early life. In 1959, he recorded the rockabilly song Country Girl with the Jimmy Haggett Band for Vaden Records in Trumann.",38,,"Johnny Moore, Country Girl, 1959",Rocky Productions,Country Girl by Johnny Moore with Jimmy Haggett Band,"Country Girl,Vaden Records, 1959","Davis, Johnny Moore, Morris",Johnny Moore with Jimmy Haggett Band,
Johnny Perrin,"Johnny Perrin of Jonesboro is another example of the persistence of rockabilly music in Northeast Arkansas after its popularity declined elsewhere. In 1966, he released You Don't Give It Back on Alley Records, a rockabilly tune that features vocals reminiscent of Elvis Presley's performances.",44,,"Johnny Perrin, You Don't Give It Back, 1966",Discogs,You Don't Give It Back by Johnny Perrin,"You Don't Give It Back, Alley Records, 1966",Johnny Perrin,Johnny Perrin,
Joyce Green,"Born on March 2, 1940 in Bradford, Joyce Olivia Green learned her first guitar chords at nine years old. She and her siblings also sang in the local church and formed a trio that performed at local picnics and gatherings. After seeing Elvis Presley perform, Green knew she wanted to sing professionally. She made her radio debut in 1957 in Searcy, and a year later she began touring the Northeast Arkansas club scene. In 1959, she wrote the rockabilly revenge song Black Cadillac with her sister and recorded it at KLCN in Blytheville; the song would be her only hit. She went on a promotional tour with other rockabilly artists, backed by Larry Donn Gillihan's band and opening for Carl Perkins.",121,,"Joyce Green, date unknown",Joyce Green,Black Cadillac by Joyce Green,"Black Cadillac, Vaden Records, 1959",Joyce Green,Joyce Green,
Kenny Owens,"Kenny Owens was born on July 14, 1936 near Sedgwick. Owens was one of eight children in the family, and his parents were poor farmers. Owens picked up music at an early age, learning to play guitar as a child. He began his professional career as a singer in the 1950s. His first rockabilly hit was I Got the Bug in 1958. Unlike many rockabillies who moved on to play other musical genres after rockabilly passed out of fashion, Owens continued to release new, original rockabilly songs throughout the 1960s. These records culminated with Long Lost John in 1969 —one of the latest releases by an original era rockabilly artist. In the 1960s, Owens started his own label in Jonesboro: Ork Records (his initials spelled backwards). ",126,,"Kenny Owens, date unknown",Source unknown,I Got the Bug by Kenny Owens,"I Got the Bug, Poplar Records, 1958","William J. Lawson, Lloyd McLaughlin",Kenny Owens,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=625446&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True
Larry Donn Gillihan,"Larry Donn Gillihan was born on a farm outside Bono on June 7, 1941. He saw Sonny Burgess and Elvis Presley play at Bono High School in 1955, which inspired him to go into music. He taught himself to play the guitar in 1957, and subsequently took second place in a school talent contest performing Johnny Cash songs. In 1958, Larry Donn joined Bobby Brown as his bass player, and the following year he recorded the rockabilly classic Honey - Bun. During the 1960s, Larry Donn toured with Sonny Burgess and Bobby Brown. He continued to release records and perform in the United States and United Kingdom through the 1980s, and even released a new album in 2007. He passed away on May 1, 2012. ",125,,"Larry Donn Gillihan, date unknown",Arkansas State University Museum,Honey - Bun by Larry Donn Gillihan,"Honey-Bun, Vaden Records, 1959",Benjamin Kuykendall,Larry Donn,
Little Herbie Mayes,"Little Herbie Mayes of Paragould released the rockabilly song Maybelline in 1969 on Joe Lee's Jonesboro label, Alley Records. While most rockabilly artists had moved on to performing other genres of music by then, Mayes' Maybelline reflects how rockabilly music persisted in Northeast Arkansas well after its popularity declined in the rest of the United States. ",56,,"Little Herbie Mayes & the Twisters, Maybelline, 1969",Arkansas State University Museum,Maybelline by Little Herbie Mayes & the Twisters,"Maybelline, Alley Records, 1969  ","Chuck Berry, Russ Fratto, Alan Freed",Little Herbie Mayes & the Twisters,
"Narvel ""The Marvel"" Felts","Narvel Felts was born November 11, 1938 in Keiser, but raised in Bernie, Missouri. He was discovered when he sang Blue Suede Shoes in a high school talent show, and recorded his first single in 1958, Kiss-a Me Baby. Felts’ early recordings include two unreleased rockabilly songs, My Babe and Tongue-Tied Jill. Thanks to the help of Johnny Cash and Roy Orbison, Felts’ career took off in the early 1960s and by the early 1970s he had gained national recognition as a country singer. Felts is best known for his falsetto voice and his 1975 country hit, Reconsider Me.",99,,"Narvel ""The Marvel"" Felts (center, holding guitar), date unknown",Wolfees Gramophone,My Babe by Narvel Felts,"My Babe, Sun Records, 1957",Willie Dixon,Narvel Felts,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=1026865&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True
Skeets McDonald,"Enos William McDonald was born on October 1, 1915 in Greenway and grew up on his father’s farm in Rector. His brother, Lynn, recalled that a 12-year-old Skeets traded a red hound dog for a guitar and six dollars. Best known as a country singer, McDonald also experimented with rockabilly in the 1950s. He released two rockabilly songs in 1956, You Oughta See Grandma Rock and Heart Breakin’ Mama. Though the songs did not do well commercially, according to music historian Charles K. Wolfe, ""[McDonald’s] music helped serve to bridge the gap between country and rock 'n' roll in the 1950s.” McDonald died on March 31, 1968.",107,,"Skeets McDonald, date unknown",Pictorial Press Ltd / Alamy Stock Photo ,Heart Breakin' Mama by Skeets McDonald,"Heartbreakin' Mama, Capitol Records, 1956","Harlan Howard, Skeets McDonald, Wynn Stewart",Skeets McDonald,
Slim Rhodes,"Born Ethmer Cletus Rhodes in Pocahontas (or Poughkeepsie) in 1913, “Slim” Rhodes was an American country and rockabilly musician who found his greatest popularity in the 1940s and 1950s. Performing as Slim Rhodes and His Mountaineers, Rhodes signed with Sun Records in 1955 and recorded a mix of country and rockabilly songs. His best known rockabilly releases were Do What I Do and Gonna Romp and Stomp. The band also toured with other Sun artists throughout the South between 1955 and 1957.  Just as Rhodes’ career was waning, he died in an accident in Memphis in 1966.",97,,"Slim Rhodes (right), date unknown",Sun Records,Do What I Do by Slim Rhodes and His Mountaineers,"Do What I Do, Sun Records, 1956","Slim Rhodes, Ronnie Hesselbein",Slim Rhodes featuring Sandy Brooks,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=310815&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True
Sonny Burgess,"Albert Austin “Sonny” Burgess was born on a small farm in Newport, Arkansas on May 28, 1929. He was a rockabilly prodigy whose on-stage antics won him the nickname “the wild man of rock and roll.” He started out playing boogie woogie music in the early 1950s around Newport with his band, the Rocky Road Ramblers. The band renamed itself The Moonlighters in 1954, and then, on the advice of producer Sam Phillips expanded and renamed itself The Pacers. They released their first songs, We Wanna Boogie and Red-Headed Woman on Sun Records in 1956. These energetic rockabilly songs came to characterize the band’s style. The Pacers disbanded in 1971, but came back together for the rockabilly revival in Europe in the 1980s. While Burgess passed away in 2017, the band continues to perform together at festivals and special events.",140,,"Sonny Burgess (second from left, in black), 1958",Marvin Schwartz,We Wanna Boogie by Sonny Burgess,"We Wanna Boogie, Sun Records, 1956",Sonny Burgess,Sonny Burgess,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=1621112&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True&blnAltTitles=True
Sonny Deckelman,"Born in Harrisburg on September 1, 1933, Joseph “Sonny” Deckelman began singing and playing the guitar while he was stationed in France with the U.S. Air Force. After returning home in 1954, Deckelman found popularity with Memphis audiences but couldn’t secure a record deal. After a brief stint in California, Deckelman returned home, formed The Bop Kings, and founded his own record label, Van-Deck. Through Van-Deck, he released the rockabilly songs I’ve Got Love and Born to Lose in 1959. While the songs were local hits, Deckelman never found national fame. As rockabilly’s appeal waned in the 1960s, he continued to release songs but faded into obscurity. ",107,,"Sonny Deckelman, date unknown",Arkansas State University Museum,I've Got Love by Sonny Deckelman,"I've Got Love, Van-Deck Records, 1959","Deckelman, Evans, Trigg",Sonny Deckelman and the Blue Notes,
Teddy Redell,"Born on a strawberry farm in Quitman on June 7, 1937, Teddy Redell grew up playing the piano. He took formal lessons for eight years, when his teacher taught him classical pieces as well as boogie woogie and ragtime songs. After making his radio debut at age 15 on KCWB in Searcy, Redell caught the attention of Wayne Raney, who invited Redell to tour with him. Redell went on to work as a session musician for the Dub, Stylo, and Vaden record labels, and played piano on the rockabilly tracks Little More Lovin’ by Chuck Comer and Black Cadillac by Joyce Green. Redell also released his own singles, including the rockabilly song It’ll Be Me.",115,,"Teddy Redell (seated at right), date unknown",RV Life,It'll Be Me by Teddy Redell,"It'll be Me, White Label Records, 1979",Jack Clement,Teddy Redell,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=737445&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True&blnAltTitles=True
Wayne McGinnis,"Wayne McGinnis was born Robert Wayne McGinnis on January 6, 1932. Born and raised on a cotton farm near Osceola, he moved to Memphis in 1955 to start a music career.  There he performed as a duo with Billy Joe Miller, playing mainly jazz and country songs. He soon became a member of Slim Wallace's Dixie Ramblers, where fellow rockabillies Billy Lee Riley and Jack Clement also played. In July 1956, McGinnis released the rockabilly songs, Rock, Roll and Rhythm and Lonesome Rhythm Blues, on  Meteor Records. Later he founded and managed the Santo label. McGinnis died on August 19, 2013 in Jonesboro, Arkansas.",104,,"Wayne McGinnis, date unknown",Ramona McGinnis,"Rock, Roll and Rhythm by Wayne McGinnis","Rock, Roll and Rhythm, Meteor Records, 1956","Leslo, Wayne McGinnis",Wayne McGinnis with The Swingteens,http://repertoire.bmi.com/Catalog.aspx?detail=writerid&page=1&fromrow=1&torow=25&keyid=28803&subid=1
Wayne Raney,"Wayne Raney was born August 17, 1921 on a farm in Wolf Bayou. He started playing the harmonica at an early age, wearing his harmonica around his neck as he worked in the  fields and playing it when he could take a break. He was best known as a country musician but between 1946 and 1952 recorded some pre-rockabilly boogie songs with the Delmore Brothers, such as Del Rio Boogie (1949). Late in the 1950s, Raney worked as a disc jockey, record producer, and label owner (starting Rimrock Records, a bluegrass-oriented label), as well as experimenting with rock and roll, as with his Decca Records version of Shake Baby Shake (1957). Raney died on January 23, 1993. ",117,,"Wayne Raney, date unknown",Mike Polston/ Encyclopedia of Arkansas,Shake Baby Shake by Wayne Raney,"Shake Baby Shake, Decca Records, 1957","Louis Todd Innis, Wayne Raney",Wayne Raney,http://repertoire.bmi.com/DetailView.aspx?detail=titleid&keyid=1318061&ShowNbr=0&ShowSeqNbr=0&blnWriter=True&blnPublisher=True&blnArtist=True&blnAltTitles=True
Mona Lunsford,"Mona Lunsford was born on July 25, 1917 in Earle. She grew up surrounded by the blues, which eventually influenced her music career. In 1967, at 50 years old, she released the rockabilly song I'm Getting Restless on Sonny Deckelman's Van-Deck record label. She also wrote many other songs for other artists, including My Little Jimmy for Wanda Jackson. ",59,,"Mona Lunsford, I'm Getting Restless, 1967",Source unknown,I'm Getting Restless by Mona Lunsford,"I'm Getting Restless, Van-Deck Records, 1967",Mona Lunsford,Mona Lunsford,
